,Season,Date,Start (ET),,Visitor/Neutral,PTS,Home/Neutral,HPTS,,Notes
60,1981,"Tue, Apr 7, 1981",,Box Score,Chicago Bulls,97,Boston Celtics,106,,
61,1981,"Tue, Apr 7, 1981",,Box Score,Milwaukee Bucks,109,Philadelphia 76ers,99,,
62,1981,"Tue, Apr 7, 1981",,Box Score,Kansas City Kings,80,Phoenix Suns,102,,
63,1981,"Tue, Apr 7, 1981",,Box Score,Houston Rockets,107,San Antonio Spurs,98,,
64,1981,"Wed, Apr 8, 1981",,Box Score,Kansas City Kings,88,Phoenix Suns,83,,
65,1981,"Wed, Apr 8, 1981",,Box Score,Houston Rockets,113,San Antonio Spurs,125,,
66,1981,"Fri, Apr 10, 1981",,Box Score,Boston Celtics,113,Chicago Bulls,107,,
67,1981,"Fri, Apr 10, 1981",,Box Score,San Antonio Spurs,99,Houston Rockets,112,,
68,1981,"Fri, Apr 10, 1981",,Box Score,Phoenix Suns,92,Kansas City Kings,93,,
69,1981,"Fri, Apr 10, 1981",,Box Score,Philadelphia 76ers,108,Milwaukee Bucks,103,,
70,1981,"Sun, Apr 12, 1981",,Box Score,Boston Celtics,109,Chicago Bulls,103,,
71,1981,"Sun, Apr 12, 1981",,Box Score,San Antonio Spurs,114,Houston Rockets,112,,
72,1981,"Sun, Apr 12, 1981",,Box Score,Phoenix Suns,95,Kansas City Kings,102,,
73,1981,"Sun, Apr 12, 1981",,Box Score,Philadelphia 76ers,98,Milwaukee Bucks,109,,
74,1981,"Tue, Apr 14, 1981",,Box Score,Houston Rockets,123,San Antonio Spurs,117,,
75,1981,"Wed, Apr 15, 1981",,Box Score,San Antonio Spurs,101,Houston Rockets,96,,
76,1981,"Wed, Apr 15, 1981",,Box Score,Milwaukee Bucks,99,Philadelphia 76ers,116,,
77,1981,"Wed, Apr 15, 1981",,Box Score,Kansas City Kings,89,Phoenix Suns,101,,
78,1981,"Fri, Apr 17, 1981",,Box Score,Phoenix Suns,81,Kansas City Kings,76,,
79,1981,"Fri, Apr 17, 1981",,Box Score,Philadelphia 76ers,86,Milwaukee Bucks,109,,
80,1981,"Fri, Apr 17, 1981",,Box Score,Houston Rockets,105,San Antonio Spurs,100,,
81,1981,"Sun, Apr 19, 1981",,Box Score,Milwaukee Bucks,98,Philadelphia 76ers,99,,
82,1981,"Sun, Apr 19, 1981",,Box Score,Kansas City Kings,95,Phoenix Suns,88,,
83,1981,"Tue, Apr 21, 1981",,Box Score,Philadelphia 76ers,105,Boston Celtics,104,,
84,1981,"Tue, Apr 21, 1981",,Box Score,Houston Rockets,97,Kansas City Kings,78,,
85,1981,"Wed, Apr 22, 1981",,Box Score,Philadelphia 76ers,99,Boston Celtics,118,,
86,1981,"Wed, Apr 22, 1981",,Box Score,Houston Rockets,79,Kansas City Kings,88,,
87,1981,"Fri, Apr 24, 1981",,Box Score,Kansas City Kings,88,Houston Rockets,92,,
88,1981,"Fri, Apr 24, 1981",,Box Score,Boston Celtics,100,Philadelphia 76ers,110,,
89,1981,"Sun, Apr 26, 1981",,Box Score,Kansas City Kings,89,Houston Rockets,100,,
90,1981,"Sun, Apr 26, 1981",,Box Score,Boston Celtics,105,Philadelphia 76ers,107,,
91,1981,"Wed, Apr 29, 1981",,Box Score,Philadelphia 76ers,109,Boston Celtics,111,,
92,1981,"Wed, Apr 29, 1981",,Box Score,Houston Rockets,97,Kansas City Kings,88,,
93,1981,"Fri, May 1, 1981",,Box Score,Boston Celtics,100,Philadelphia 76ers,98,,
94,1981,"Sun, May 3, 1981",,Box Score,Philadelphia 76ers,90,Boston Celtics,91,,
95,1981,"Tue, May 5, 1981",,Box Score,Houston Rockets,95,Boston Celtics,98,,
96,1981,"Thu, May 7, 1981",,Box Score,Houston Rockets,92,Boston Celtics,90,,
97,1981,"Sat, May 9, 1981",,Box Score,Boston Celtics,94,Houston Rockets,71,,
98,1981,"Sun, May 10, 1981",,Box Score,Boston Celtics,86,Houston Rockets,91,,
99,1981,"Tue, May 12, 1981",,Box Score,Houston Rockets,80,Boston Celtics,109,,
100,1981,"Thu, May 14, 1981",,Box Score,Boston Celtics,102,Houston Rockets,91,,
101,1982,"Tue, Apr 20, 1982",,Box Score,Phoenix Suns,113,Denver Nuggets,129,,
102,1982,"Tue, Apr 20, 1982",,Box Score,Washington Bullets,96,New Jersey Nets,83,,
103,1982,"Wed, Apr 21, 1982",,Box Score,Atlanta Hawks,76,Philadelphia 76ers,111,,
104,1982,"Wed, Apr 21, 1982",,Box Score,Houston Rockets,87,Seattle SuperSonics,102,,
105,1982,"Fri, Apr 23, 1982",,Box Score,Philadelphia 76ers,98,Atlanta Hawks,95,OT,
106,1982,"Fri, Apr 23, 1982",,Box Score,Seattle SuperSonics,70,Houston Rockets,91,,
107,1982,"Fri, Apr 23, 1982",,Box Score,Denver Nuggets,110,Phoenix Suns,126,,
108,1982,"Fri, Apr 23, 1982",,Box Score,New Jersey Nets,92,Washington Bullets,103,,
109,1982,"Sat, Apr 24, 1982",,Box Score,Phoenix Suns,124,Denver Nuggets,119,,
110,1982,"Sun, Apr 25, 1982",,Box Score,Washington Bullets,91,Boston Celtics,109,,
111,1982,"Sun, Apr 25, 1982",,Box Score,Milwaukee Bucks,122,Philadelphia 76ers,125,,
112,1982,"Sun, Apr 25, 1982",,Box Score,Houston Rockets,83,Seattle SuperSonics,104,,
113,1982,"Tue, Apr 27, 1982",,Box Score,Phoenix Suns,96,Los Angeles Lakers,115,,
114,1982,"Tue, Apr 27, 1982",,Box Score,San Antonio Spurs,95,Seattle SuperSonics,93,,
115,1982,"Wed, Apr 28, 1982",,Box Score,Washington Bullets,103,Boston Celtics,102,,
116,1982,"Wed, Apr 28, 1982",,Box Score,Phoenix Suns,98,Los Angeles Lakers,117,,
117,1982,"Wed, Apr 28, 1982",,Box Score,Milwaukee Bucks,108,Philadelphia 76ers,120,,
118,1982,"Wed, Apr 28, 1982",,Box Score,San Antonio Spurs,99,Seattle SuperSonics,114,,
119,1982,"Fri, Apr 30, 1982",,Box Score,Los Angeles Lakers,114,Phoenix Suns,106,,
120,1982,"Fri, Apr 30, 1982",,Box Score,Seattle SuperSonics,97,San Antonio Spurs,99,,
121,1982,"Sat, May 1, 1982",,Box Score,Philadelphia 76ers,91,Milwaukee Bucks,92,,
122,1982,"Sat, May 1, 1982",,Box Score,Boston Celtics,92,Washington Bullets,83,,
123,1982,"Sun, May 2, 1982",,Box Score,Philadelphia 76ers,100,Milwaukee Bucks,93,,
124,1982,"Sun, May 2, 1982",,Box Score,Los Angeles Lakers,112,Phoenix Suns,107,,
125,1982,"Sun, May 2, 1982",,Box Score,Seattle SuperSonics,113,San Antonio Spurs,115,,
126,1982,"Sun, May 2, 1982",,Box Score,Boston Celtics,103,Washington Bullets,99,OT,
127,1982,"Wed, May 5, 1982",,Box Score,Washington Bullets,126,Boston Celtics,131,2OT,
128,1982,"Wed, May 5, 1982",,Box Score,Milwaukee Bucks,110,Philadelphia 76ers,98,,
129,1982,"Wed, May 5, 1982",,Box Score,San Antonio Spurs,109,Seattle SuperSonics,103,,
130,1982,"Fri, May 7, 1982",,Box Score,Philadelphia 76ers,102,Milwaukee Bucks,90,,
131,1982,"Sun, May 9, 1982",,Box Score,Philadelphia 76ers,81,Boston Celtics,121,,
132,1982,"Sun, May 9, 1982",,Box Score,San Antonio Spurs,117,Los Angeles Lakers,128,,
133,1982,"Tue, May 11, 1982",,Box Score,San Antonio Spurs,101,Los Angeles Lakers,110,,
134,1982,"Wed, May 12, 1982",,Box Score,Philadelphia 76ers,121,Boston Celtics,113,,
135,1982,"Fri, May 14, 1982",,Box Score,Los Angeles Lakers,118,San Antonio Spurs,108,,
136,1982,"Sat, May 15, 1982",,Box Score,Boston Celtics,97,Philadelphia 76ers,99,,
137,1982,"Sat, May 15, 1982",,Box Score,Los Angeles Lakers,128,San Antonio Spurs,123,,
138,1982,"Sun, May 16, 1982",,Box Score,Boston Celtics,94,Philadelphia 76ers,119,,
139,1982,"Wed, May 19, 1982",,Box Score,Philadelphia 76ers,85,Boston Celtics,114,,
140,1982,"Fri, May 21, 1982",,Box Score,Boston Celtics,88,Philadelphia 76ers,75,,
141,1982,"Sun, May 23, 1982",,Box Score,Philadelphia 76ers,120,Boston Celtics,106,,
142,1982,"Thu, May 27, 1982",,Box Score,Los Angeles Lakers,124,Philadelphia 76ers,117,,
143,1982,"Sun, May 30, 1982",,Box Score,Los Angeles Lakers,94,Philadelphia 76ers,110,,
144,1982,"Tue, Jun 1, 1982",,Box Score,Philadelphia 76ers,108,Los Angeles Lakers,129,,
145,1982,"Thu, Jun 3, 1982",,Box Score,Philadelphia 76ers,101,Los Angeles Lakers,111,,
146,1982,"Sun, Jun 6, 1982",,Box Score,Los Angeles Lakers,102,Philadelphia 76ers,135,,
147,1982,"Tue, Jun 8, 1982",,Box Score,Philadelphia 76ers,104,Los Angeles Lakers,114,,
148,1983,"Tue, Apr 19, 1983",,Box Score,Atlanta Hawks,95,Boston Celtics,103,,
149,1983,"Tue, Apr 19, 1983",,Box Score,Denver Nuggets,108,Phoenix Suns,121,,
150,1983,"Wed, Apr 20, 1983",,Box Score,New York Knicks,118,New Jersey Nets,107,,
151,1983,"Wed, Apr 20, 1983",,Box Score,Portland Trail Blazers,108,Seattle SuperSonics,97,,
152,1983,"Thu, Apr 21, 1983",,Box Score,Phoenix Suns,99,Denver Nuggets,113,,
153,1983,"Thu, Apr 21, 1983",,Box Score,New Jersey Nets,99,New York Knicks,105,,
154,1983,"Fri, Apr 22, 1983",,Box Score,Boston Celtics,93,Atlanta Hawks,95,,
155,1983,"Fri, Apr 22, 1983",,Box Score,Seattle SuperSonics,96,Portland Trail Blazers,105,,
156,1983,"Sun, Apr 24, 1983",,Box Score,Atlanta Hawks,79,Boston Celtics,98,,
157,1983,"Sun, Apr 24, 1983",,Box Score,Portland Trail Blazers,97,Los Angeles Lakers,118,,
158,1983,"Sun, Apr 24, 1983",,Box Score,New York Knicks,102,Philadelphia 76ers,112,,
159,1983,"Sun, Apr 24, 1983",,Box Score,Denver Nuggets,117,Phoenix Suns,112,OT,
160,1983,"Tue, Apr 26, 1983",,Box Score,Portland Trail Blazers,106,Los Angeles Lakers,112,,
161,1983,"Tue, Apr 26, 1983",,Box Score,Denver Nuggets,133,San Antonio Spurs,152,,
162,1983,"Wed, Apr 27, 1983",,Box Score,Milwaukee Bucks,116,Boston Celtics,95,,
163,1983,"Wed, Apr 27, 1983",,Box Score,New York Knicks,91,Philadelphia 76ers,98,,
164,1983,"Wed, Apr 27, 1983",,Box Score,Denver Nuggets,109,San Antonio Spurs,126,,
165,1983,"Fri, Apr 29, 1983",,Box Score,Milwaukee Bucks,95,Boston Celtics,91,,
166,1983,"Fri, Apr 29, 1983",,Box Score,San Antonio Spurs,127,Denver Nuggets,126,OT,
167,1983,"Fri, Apr 29, 1983",,Box Score,Los Angeles Lakers,115,Portland Trail Blazers,109,OT,
168,1983,"Sat, Apr 30, 1983",,Box Score,Philadelphia 76ers,107,New York Knicks,105,,
169,1983,"Sun, May 1, 1983",,Box Score,Boston Celtics,99,Milwaukee Bucks,107,,
170,1983,"Sun, May 1, 1983",,Box Score,Philadelphia 76ers,105,New York Knicks,102,,
171,1983,"Sun, May 1, 1983",,Box Score,Los Angeles Lakers,95,Portland Trail Blazers,108,,
172,1983,"Mon, May 2, 1983",,Box Score,San Antonio Spurs,114,Denver Nuggets,124,,
173,1983,"Mon, May 2, 1983",,Box Score,Boston Celtics,93,Milwaukee Bucks,107,,
174,1983,"Tue, May 3, 1983",,Box Score,Portland Trail Blazers,108,Los Angeles Lakers,116,,
175,1983,"Wed, May 4, 1983",,Box Score,Denver Nuggets,105,San Antonio Spurs,145,,
176,1983,"Sun, May 8, 1983",,Box Score,San Antonio Spurs,107,Los Angeles Lakers,119,,
177,1983,"Sun, May 8, 1983",,Box Score,Milwaukee Bucks,109,Philadelphia 76ers,111,OT,
178,1983,"Tue, May 10, 1983",,Box Score,San Antonio Spurs,122,Los Angeles Lakers,113,,
179,1983,"Wed, May 11, 1983",,Box Score,Milwaukee Bucks,81,Philadelphia 76ers,87,,
180,1983,"Fri, May 13, 1983",,Box Score,Los Angeles Lakers,113,San Antonio Spurs,100,,
181,1983,"Sat, May 14, 1983",,Box Score,Philadelphia 76ers,104,Milwaukee Bucks,96,,
182,1983,"Sun, May 15, 1983",,Box Score,Philadelphia 76ers,94,Milwaukee Bucks,100,,
183,1983,"Sun, May 15, 1983",,Box Score,Los Angeles Lakers,129,San Antonio Spurs,121,,
184,1983,"Wed, May 18, 1983",,Box Score,San Antonio Spurs,117,Los Angeles Lakers,112,,
185,1983,"Wed, May 18, 1983",,Box Score,Milwaukee Bucks,103,Philadelphia 76ers,115,,
186,1983,"Fri, May 20, 1983",,Box Score,Los Angeles Lakers,101,San Antonio Spurs,100,,
187,1983,"Sun, May 22, 1983",,Box Score,Los Angeles Lakers,107,Philadelphia 76ers,113,,
188,1983,"Thu, May 26, 1983",,Box Score,Los Angeles Lakers,93,Philadelphia 76ers,103,,
189,1983,"Sun, May 29, 1983",,Box Score,Philadelphia 76ers,111,Los Angeles Lakers,94,,
190,1983,"Tue, May 31, 1983",,Box Score,Philadelphia 76ers,115,Los Angeles Lakers,108,,
191,1984,"Tue, Apr 17, 1984",,Box Score,Washington Bullets,83,Boston Celtics,91,,
192,1984,"Tue, Apr 17, 1984",,Box Score,Seattle SuperSonics,86,Dallas Mavericks,88,,
193,1984,"Tue, Apr 17, 1984",,Box Score,New York Knicks,94,Detroit Pistons,93,,
194,1984,"Tue, Apr 17, 1984",,Box Score,Atlanta Hawks,89,Milwaukee Bucks,105,,
195,1984,"Tue, Apr 17, 1984",,Box Score,Denver Nuggets,121,Utah Jazz,123,,
196,1984,"Wed, Apr 18, 1984",,Box Score,Kansas City Kings,105,Los Angeles Lakers,116,,
197,1984,"Wed, Apr 18, 1984",,Box Score,New Jersey Nets,116,Philadelphia 76ers,101,,
198,1984,"Wed, Apr 18, 1984",,Box Score,Phoenix Suns,113,Portland Trail Blazers,106,,
199,1984,"Thu, Apr 19, 1984",,Box Score,Washington Bullets,85,Boston Celtics,88,,
200,1984,"Thu, Apr 19, 1984",,Box Score,Seattle SuperSonics,95,Dallas Mavericks,92,,
201,1984,"Thu, Apr 19, 1984",,Box Score,New York Knicks,105,Detroit Pistons,113,,
202,1984,"Thu, Apr 19, 1984",,Box Score,Atlanta Hawks,87,Milwaukee Bucks,101,,
203,1984,"Thu, Apr 19, 1984",,Box Score,Denver Nuggets,132,Utah Jazz,116,,
204,1984,"Fri, Apr 20, 1984",,Box Score,Kansas City Kings,102,Los Angeles Lakers,109,,
205,1984,"Fri, Apr 20, 1984",,Box Score,New Jersey Nets,116,Philadelphia 76ers,102,,
206,1984,"Fri, Apr 20, 1984",,Box Score,Phoenix Suns,116,Portland Trail Blazers,122,,
207,1984,"Sat, Apr 21, 1984",,Box Score,Milwaukee Bucks,94,Atlanta Hawks,103,,
208,1984,"Sat, Apr 21, 1984",,Box Score,Dallas Mavericks,94,Seattle SuperSonics,104,,"at Seattle, WA (Seattle Coliseum)"
209,1984,"Sat, Apr 21, 1984",,Box Score,Boston Celtics,108,Washington Bullets,111,OT,
210,1984,"Sun, Apr 22, 1984",,Box Score,Utah Jazz,117,Denver Nuggets,121,,
211,1984,"Sun, Apr 22, 1984",,Box Score,Los Angeles Lakers,108,Kansas City Kings,102,,
212,1984,"Sun, Apr 22, 1984",,Box Score,Philadelphia 76ers,108,New Jersey Nets,100,,
