,Season,Date,Start (ET),,Visitor/Neutral,PTS,Home/Neutral,HPTS,,Notes
701,1991,"Sat, Apr 27, 1991",,Box Score,Utah Jazz,92,Phoenix Suns,102,,
702,1991,"Sat, Apr 27, 1991",,Box Score,Golden State Warriors,111,San Antonio Spurs,98,,
703,1991,"Sun, Apr 28, 1991",,Box Score,Indiana Pacers,130,Boston Celtics,118,,
704,1991,"Sun, Apr 28, 1991",,Box Score,New York Knicks,79,Chicago Bulls,89,,
705,1991,"Sun, Apr 28, 1991",,Box Score,Atlanta Hawks,88,Detroit Pistons,101,,
706,1991,"Sun, Apr 28, 1991",,Box Score,Seattle SuperSonics,106,Portland Trail Blazers,115,,
707,1991,"Tue, Apr 30, 1991",,Box Score,Detroit Pistons,103,Atlanta Hawks,91,,
708,1991,"Tue, Apr 30, 1991",,Box Score,Los Angeles Lakers,94,Houston Rockets,90,,
709,1991,"Tue, Apr 30, 1991",,Box Score,Chicago Bulls,103,New York Knicks,94,,
710,1991,"Tue, Apr 30, 1991",,Box Score,Milwaukee Bucks,100,Philadelphia 76ers,121,,
711,1991,"Tue, Apr 30, 1991",,Box Score,Portland Trail Blazers,99,Seattle SuperSonics,102,,
712,1991,"Tue, Apr 30, 1991",,Box Score,Phoenix Suns,98,Utah Jazz,107,,
713,1991,"Wed, May 1, 1991",,Box Score,San Antonio Spurs,106,Golden State Warriors,109,,
714,1991,"Wed, May 1, 1991",,Box Score,Boston Celtics,112,Indiana Pacers,105,,
715,1991,"Thu, May 2, 1991",,Box Score,Detroit Pistons,111,Atlanta Hawks,123,,
716,1991,"Thu, May 2, 1991",,Box Score,Portland Trail Blazers,89,Seattle SuperSonics,101,,
717,1991,"Thu, May 2, 1991",,Box Score,Phoenix Suns,93,Utah Jazz,101,,
718,1991,"Fri, May 3, 1991",,Box Score,San Antonio Spurs,97,Golden State Warriors,110,,
719,1991,"Fri, May 3, 1991",,Box Score,Boston Celtics,113,Indiana Pacers,116,,
720,1991,"Sat, May 4, 1991",,Box Score,Philadelphia 76ers,92,Chicago Bulls,105,,
721,1991,"Sat, May 4, 1991",,Box Score,Seattle SuperSonics,107,Portland Trail Blazers,119,,
722,1991,"Sun, May 5, 1991",,Box Score,Indiana Pacers,121,Boston Celtics,124,,
723,1991,"Sun, May 5, 1991",,Box Score,Atlanta Hawks,81,Detroit Pistons,113,,
724,1991,"Sun, May 5, 1991",,Box Score,Golden State Warriors,116,Los Angeles Lakers,126,,
725,1991,"Mon, May 6, 1991",,Box Score,Philadelphia 76ers,100,Chicago Bulls,112,,
726,1991,"Tue, May 7, 1991",,Box Score,Detroit Pistons,86,Boston Celtics,75,,
727,1991,"Tue, May 7, 1991",,Box Score,Utah Jazz,97,Portland Trail Blazers,117,,
728,1991,"Wed, May 8, 1991",,Box Score,Golden State Warriors,125,Los Angeles Lakers,124,,
729,1991,"Thu, May 9, 1991",,Box Score,Detroit Pistons,103,Boston Celtics,109,,
730,1991,"Thu, May 9, 1991",,Box Score,Utah Jazz,116,Portland Trail Blazers,118,,
731,1991,"Fri, May 10, 1991",,Box Score,Los Angeles Lakers,115,Golden State Warriors,112,,
732,1991,"Fri, May 10, 1991",,Box Score,Chicago Bulls,97,Philadelphia 76ers,99,,
733,1991,"Sat, May 11, 1991",,Box Score,Boston Celtics,115,Detroit Pistons,83,,
734,1991,"Sat, May 11, 1991",,Box Score,Portland Trail Blazers,101,Utah Jazz,107,,
735,1991,"Sun, May 12, 1991",,Box Score,Los Angeles Lakers,123,Golden State Warriors,107,,
736,1991,"Sun, May 12, 1991",,Box Score,Chicago Bulls,101,Philadelphia 76ers,85,,
737,1991,"Sun, May 12, 1991",,Box Score,Portland Trail Blazers,104,Utah Jazz,101,,
738,1991,"Mon, May 13, 1991",,Box Score,Boston Celtics,97,Detroit Pistons,104,,
739,1991,"Tue, May 14, 1991",,Box Score,Philadelphia 76ers,95,Chicago Bulls,100,,
740,1991,"Tue, May 14, 1991",,Box Score,Golden State Warriors,119,Los Angeles Lakers,124,OT,
741,1991,"Tue, May 14, 1991",,Box Score,Utah Jazz,96,Portland Trail Blazers,103,,
742,1991,"Wed, May 15, 1991",,Box Score,Detroit Pistons,116,Boston Celtics,111,,
743,1991,"Fri, May 17, 1991",,Box Score,Boston Celtics,113,Detroit Pistons,117,OT,
744,1991,"Sat, May 18, 1991",,Box Score,Los Angeles Lakers,111,Portland Trail Blazers,106,,
745,1991,"Sun, May 19, 1991",,Box Score,Detroit Pistons,83,Chicago Bulls,94,,
746,1991,"Tue, May 21, 1991",,Box Score,Detroit Pistons,97,Chicago Bulls,105,,
747,1991,"Tue, May 21, 1991",,Box Score,Los Angeles Lakers,98,Portland Trail Blazers,109,,
748,1991,"Fri, May 24, 1991",,Box Score,Portland Trail Blazers,92,Los Angeles Lakers,106,,
749,1991,"Sat, May 25, 1991",,Box Score,Chicago Bulls,113,Detroit Pistons,107,,
750,1991,"Sun, May 26, 1991",,Box Score,Portland Trail Blazers,95,Los Angeles Lakers,116,,
751,1991,"Mon, May 27, 1991",,Box Score,Chicago Bulls,115,Detroit Pistons,94,,
752,1991,"Tue, May 28, 1991",,Box Score,Los Angeles Lakers,84,Portland Trail Blazers,95,,
753,1991,"Thu, May 30, 1991",,Box Score,Portland Trail Blazers,90,Los Angeles Lakers,91,,
754,1991,"Sun, Jun 2, 1991",,Box Score,Los Angeles Lakers,93,Chicago Bulls,91,,
755,1991,"Wed, Jun 5, 1991",,Box Score,Los Angeles Lakers,86,Chicago Bulls,107,,
756,1991,"Fri, Jun 7, 1991",,Box Score,Chicago Bulls,104,Los Angeles Lakers,96,OT,
757,1991,"Sun, Jun 9, 1991",,Box Score,Chicago Bulls,97,Los Angeles Lakers,82,,
758,1991,"Wed, Jun 12, 1991",,Box Score,Chicago Bulls,108,Los Angeles Lakers,101,,
759,1992,"Thu, Apr 23, 1992",,Box Score,Indiana Pacers,113,Boston Celtics,124,,
760,1992,"Thu, Apr 23, 1992",,Box Score,New Jersey Nets,113,Cleveland Cavaliers,120,,
761,1992,"Thu, Apr 23, 1992",,Box Score,Seattle SuperSonics,117,Golden State Warriors,109,,
762,1992,"Thu, Apr 23, 1992",,Box Score,Los Angeles Lakers,102,Portland Trail Blazers,115,,
763,1992,"Fri, Apr 24, 1992",,Box Score,Miami Heat,94,Chicago Bulls,113,,
764,1992,"Fri, Apr 24, 1992",,Box Score,Detroit Pistons,75,New York Knicks,109,,
765,1992,"Fri, Apr 24, 1992",,Box Score,San Antonio Spurs,111,Phoenix Suns,117,,
766,1992,"Fri, Apr 24, 1992",,Box Score,Los Angeles Clippers,97,Utah Jazz,115,,
767,1992,"Sat, Apr 25, 1992",,Box Score,Indiana Pacers,112,Boston Celtics,119,OT,
768,1992,"Sat, Apr 25, 1992",,Box Score,New Jersey Nets,96,Cleveland Cavaliers,118,,
769,1992,"Sat, Apr 25, 1992",,Box Score,Seattle SuperSonics,101,Golden State Warriors,115,,
770,1992,"Sat, Apr 25, 1992",,Box Score,Los Angeles Lakers,79,Portland Trail Blazers,101,,
771,1992,"Sun, Apr 26, 1992",,Box Score,Miami Heat,90,Chicago Bulls,120,,
772,1992,"Sun, Apr 26, 1992",,Box Score,Detroit Pistons,89,New York Knicks,88,,
773,1992,"Sun, Apr 26, 1992",,Box Score,San Antonio Spurs,107,Phoenix Suns,119,,
774,1992,"Sun, Apr 26, 1992",,Box Score,Los Angeles Clippers,92,Utah Jazz,103,,
775,1992,"Mon, Apr 27, 1992",,Box Score,Boston Celtics,102,Indiana Pacers,98,,
776,1992,"Tue, Apr 28, 1992",,Box Score,New York Knicks,90,Detroit Pistons,87,OT,
777,1992,"Tue, Apr 28, 1992",,Box Score,Utah Jazz,88,Los Angeles Clippers,98,,
778,1992,"Tue, Apr 28, 1992",,Box Score,Cleveland Cavaliers,104,New Jersey Nets,109,,
779,1992,"Tue, Apr 28, 1992",,Box Score,Golden State Warriors,128,Seattle SuperSonics,129,,
780,1992,"Wed, Apr 29, 1992",,Box Score,Portland Trail Blazers,119,Los Angeles Lakers,121,OT,
781,1992,"Wed, Apr 29, 1992",,Box Score,Chicago Bulls,119,Miami Heat,114,,
782,1992,"Wed, Apr 29, 1992",,Box Score,Phoenix Suns,101,San Antonio Spurs,92,,
783,1992,"Thu, Apr 30, 1992",,Box Score,Cleveland Cavaliers,98,New Jersey Nets,89,,
784,1992,"Thu, Apr 30, 1992",,Box Score,Golden State Warriors,116,Seattle SuperSonics,119,,
785,1992,"Fri, May 1, 1992",,Box Score,New York Knicks,82,Detroit Pistons,86,,
786,1992,"Sat, May 2, 1992",,Box Score,Boston Celtics,76,Cleveland Cavaliers,101,,
787,1992,"Sun, May 3, 1992",,Box Score,Utah Jazz,107,Los Angeles Clippers,115,,"at Anaheim, CA (Anaheim Convention Center)"
788,1992,"Sun, May 3, 1992",,Box Score,Portland Trail Blazers,102,Los Angeles Lakers,76,,"at Las Vegas, NV"
789,1992,"Sun, May 3, 1992",,Box Score,Detroit Pistons,87,New York Knicks,94,,
790,1992,"Mon, May 4, 1992",,Box Score,Boston Celtics,104,Cleveland Cavaliers,98,,
791,1992,"Mon, May 4, 1992",,Box Score,Los Angeles Clippers,89,Utah Jazz,98,,
792,1992,"Tue, May 5, 1992",,Box Score,New York Knicks,94,Chicago Bulls,89,,
793,1992,"Tue, May 5, 1992",,Box Score,Phoenix Suns,111,Portland Trail Blazers,113,,
794,1992,"Wed, May 6, 1992",,Box Score,Seattle SuperSonics,100,Utah Jazz,108,,
795,1992,"Thu, May 7, 1992",,Box Score,New York Knicks,78,Chicago Bulls,86,,
796,1992,"Thu, May 7, 1992",,Box Score,Phoenix Suns,119,Portland Trail Blazers,126,,
797,1992,"Fri, May 8, 1992",,Box Score,Cleveland Cavaliers,107,Boston Celtics,110,,
798,1992,"Fri, May 8, 1992",,Box Score,Seattle SuperSonics,97,Utah Jazz,103,,
799,1992,"Sat, May 9, 1992",,Box Score,Chicago Bulls,94,New York Knicks,86,,
800,1992,"Sat, May 9, 1992",,Box Score,Portland Trail Blazers,117,Phoenix Suns,124,,
801,1992,"Sun, May 10, 1992",,Box Score,Cleveland Cavaliers,114,Boston Celtics,112,OT,
802,1992,"Sun, May 10, 1992",,Box Score,Chicago Bulls,86,New York Knicks,93,,
803,1992,"Sun, May 10, 1992",,Box Score,Utah Jazz,98,Seattle SuperSonics,104,,
804,1992,"Mon, May 11, 1992",,Box Score,Portland Trail Blazers,153,Phoenix Suns,151,2OT,
805,1992,"Tue, May 12, 1992",,Box Score,New York Knicks,88,Chicago Bulls,96,,
806,1992,"Tue, May 12, 1992",,Box Score,Utah Jazz,89,Seattle SuperSonics,83,,
807,1992,"Wed, May 13, 1992",,Box Score,Boston Celtics,98,Cleveland Cavaliers,114,,
808,1992,"Thu, May 14, 1992",,Box Score,Chicago Bulls,86,New York Knicks,100,,
809,1992,"Thu, May 14, 1992",,Box Score,Phoenix Suns,106,Portland Trail Blazers,118,,
810,1992,"Thu, May 14, 1992",,Box Score,Seattle SuperSonics,100,Utah Jazz,111,,
811,1992,"Fri, May 15, 1992",,Box Score,Cleveland Cavaliers,91,Boston Celtics,122,,
812,1992,"Sat, May 16, 1992",,Box Score,Utah Jazz,88,Portland Trail Blazers,113,,
813,1992,"Sun, May 17, 1992",,Box Score,New York Knicks,81,Chicago Bulls,110,,
814,1992,"Sun, May 17, 1992",,Box Score,Boston Celtics,104,Cleveland Cavaliers,122,,
815,1992,"Tue, May 19, 1992",,Box Score,Cleveland Cavaliers,89,Chicago Bulls,103,,
816,1992,"Tue, May 19, 1992",,Box Score,Utah Jazz,102,Portland Trail Blazers,119,,
817,1992,"Thu, May 21, 1992",,Box Score,Cleveland Cavaliers,107,Chicago Bulls,81,,
818,1992,"Fri, May 22, 1992",,Box Score,Portland Trail Blazers,89,Utah Jazz,97,,
819,1992,"Sat, May 23, 1992",,Box Score,Chicago Bulls,105,Cleveland Cavaliers,96,,
820,1992,"Sun, May 24, 1992",,Box Score,Portland Trail Blazers,112,Utah Jazz,121,,
821,1992,"Mon, May 25, 1992",,Box Score,Chicago Bulls,85,Cleveland Cavaliers,99,,
822,1992,"Tue, May 26, 1992",,Box Score,Utah Jazz,121,Portland Trail Blazers,127,OT,
823,1992,"Wed, May 27, 1992",,Box Score,Cleveland Cavaliers,89,Chicago Bulls,112,,
824,1992,"Thu, May 28, 1992",,Box Score,Portland Trail Blazers,105,Utah Jazz,97,,
825,1992,"Fri, May 29, 1992",,Box Score,Chicago Bulls,99,Cleveland Cavaliers,94,,
826,1992,"Wed, Jun 3, 1992",,Box Score,Portland Trail Blazers,89,Chicago Bulls,122,,
827,1992,"Fri, Jun 5, 1992",,Box Score,Portland Trail Blazers,115,Chicago Bulls,104,OT,
828,1992,"Sun, Jun 7, 1992",,Box Score,Chicago Bulls,94,Portland Trail Blazers,84,,
829,1992,"Wed, Jun 10, 1992",,Box Score,Chicago Bulls,88,Portland Trail Blazers,93,,
830,1992,"Fri, Jun 12, 1992",,Box Score,Chicago Bulls,119,Portland Trail Blazers,106,,
831,1992,"Sun, Jun 14, 1992",,Box Score,Portland Trail Blazers,93,Chicago Bulls,97,,
832,1993,"Thu, Apr 29, 1993",,Box Score,Charlotte Hornets,101,Boston Celtics,112,,
833,1993,"Thu, Apr 29, 1993",,Box Score,New Jersey Nets,98,Cleveland Cavaliers,114,,
834,1993,"Thu, Apr 29, 1993",,Box Score,Los Angeles Clippers,94,Houston Rockets,117,,
835,1993,"Thu, Apr 29, 1993",,Box Score,San Antonio Spurs,87,Portland Trail Blazers,86,,
836,1993,"Fri, Apr 30, 1993",,Box Score,Atlanta Hawks,90,Chicago Bulls,114,,
837,1993,"Fri, Apr 30, 1993",,Box Score,Indiana Pacers,104,New York Knicks,107,,
838,1993,"Fri, Apr 30, 1993",,Box Score,Los Angeles Lakers,107,Phoenix Suns,103,,
839,1993,"Fri, Apr 30, 1993",,Box Score,Utah Jazz,85,Seattle SuperSonics,99,,
840,1993,"Sat, May 1, 1993",,Box Score,Charlotte Hornets,99,Boston Celtics,98,2OT,
841,1993,"Sat, May 1, 1993",,Box Score,New Jersey Nets,101,Cleveland Cavaliers,99,,
842,1993,"Sat, May 1, 1993",,Box Score,Los Angeles Clippers,95,Houston Rockets,83,,
843,1993,"Sat, May 1, 1993",,Box Score,San Antonio Spurs,96,Portland Trail Blazers,105,,
844,1993,"Sun, May 2, 1993",,Box Score,Atlanta Hawks,102,Chicago Bulls,117,,
845,1993,"Sun, May 2, 1993",,Box Score,Indiana Pacers,91,New York Knicks,101,,
846,1993,"Sun, May 2, 1993",,Box Score,Los Angeles Lakers,86,Phoenix Suns,81,,
847,1993,"Sun, May 2, 1993",,Box Score,Utah Jazz,89,Seattle SuperSonics,85,,
848,1993,"Mon, May 3, 1993",,Box Score,Boston Celtics,89,Charlotte Hornets,119,,
849,1993,"Mon, May 3, 1993",,Box Score,Houston Rockets,111,Los Angeles Clippers,99,,
850,1993,"Tue, May 4, 1993",,Box Score,Chicago Bulls,98,Atlanta Hawks,88,,
851,1993,"Tue, May 4, 1993",,Box Score,New York Knicks,93,Indiana Pacers,116,,
852,1993,"Tue, May 4, 1993",,Box Score,Phoenix Suns,107,Los Angeles Lakers,102,,
853,1993,"Tue, May 4, 1993",,Box Score,Seattle SuperSonics,80,Utah Jazz,90,,
854,1993,"Wed, May 5, 1993",,Box Score,Boston Celtics,103,Charlotte Hornets,104,,
855,1993,"Wed, May 5, 1993",,Box Score,Houston Rockets,90,Los Angeles Clippers,93,,
856,1993,"Wed, May 5, 1993",,Box Score,Cleveland Cavaliers,93,New Jersey Nets,84,,
857,1993,"Wed, May 5, 1993",,Box Score,Portland Trail Blazers,101,San Antonio Spurs,107,,
858,1993,"Thu, May 6, 1993",,Box Score,New York Knicks,109,Indiana Pacers,100,OT,
859,1993,"Thu, May 6, 1993",,Box Score,Phoenix Suns,101,Los Angeles Lakers,86,,
860,1993,"Thu, May 6, 1993",,Box Score,Seattle SuperSonics,93,Utah Jazz,80,,
861,1993,"Fri, May 7, 1993",,Box Score,Cleveland Cavaliers,79,New Jersey Nets,96,,
862,1993,"Fri, May 7, 1993",,Box Score,Portland Trail Blazers,97,San Antonio Spurs,100,OT,
863,1993,"Sat, May 8, 1993",,Box Score,Los Angeles Clippers,80,Houston Rockets,84,,
864,1993,"Sat, May 8, 1993",,Box Score,Utah Jazz,92,Seattle SuperSonics,100,,
865,1993,"Sun, May 9, 1993",,Box Score,New Jersey Nets,89,Cleveland Cavaliers,99,,
866,1993,"Sun, May 9, 1993",,Box Score,Charlotte Hornets,95,New York Knicks,111,,
867,1993,"Sun, May 9, 1993",,Box Score,Los Angeles Lakers,104,Phoenix Suns,112,OT,
868,1993,"Mon, May 10, 1993",,Box Score,Houston Rockets,90,Seattle SuperSonics,99,,
869,1993,"Tue, May 11, 1993",,Box Score,Cleveland Cavaliers,84,Chicago Bulls,91,,
870,1993,"Tue, May 11, 1993",,Box Score,San Antonio Spurs,89,Phoenix Suns,98,,
871,1993,"Wed, May 12, 1993",,Box Score,Charlotte Hornets,101,New York Knicks,105,OT,
872,1993,"Wed, May 12, 1993",,Box Score,Houston Rockets,100,Seattle SuperSonics,111,,
873,1993,"Thu, May 13, 1993",,Box Score,Cleveland Cavaliers,85,Chicago Bulls,104,,
874,1993,"Thu, May 13, 1993",,Box Score,San Antonio Spurs,103,Phoenix Suns,109,,
875,1993,"Fri, May 14, 1993",,Box Score,New York Knicks,106,Charlotte Hornets,110,2OT,
876,1993,"Sat, May 15, 1993",,Box Score,Chicago Bulls,96,Cleveland Cavaliers,90,,
877,1993,"Sat, May 15, 1993",,Box Score,Seattle SuperSonics,79,Houston Rockets,97,,
878,1993,"Sat, May 15, 1993",,Box Score,Phoenix Suns,96,San Antonio Spurs,111,,
879,1993,"Sun, May 16, 1993",,Box Score,New York Knicks,94,Charlotte Hornets,92,,
880,1993,"Sun, May 16, 1993",,Box Score,Seattle SuperSonics,92,Houston Rockets,103,,
881,1993,"Sun, May 16, 1993",,Box Score,Phoenix Suns,103,San Antonio Spurs,117,,
882,1993,"Mon, May 17, 1993",,Box Score,Chicago Bulls,103,Cleveland Cavaliers,101,,
883,1993,"Tue, May 18, 1993",,Box Score,Charlotte Hornets,101,New York Knicks,105,,
884,1993,"Tue, May 18, 1993",,Box Score,San Antonio Spurs,97,Phoenix Suns,109,,
885,1993,"Tue, May 18, 1993",,Box Score,Houston Rockets,95,Seattle SuperSonics,120,,
886,1993,"Thu, May 20, 1993",,Box Score,Seattle SuperSonics,90,Houston Rockets,103,,
887,1993,"Thu, May 20, 1993",,Box Score,Phoenix Suns,102,San Antonio Spurs,100,,
888,1993,"Sat, May 22, 1993",,Box Score,Houston Rockets,100,Seattle SuperSonics,103,OT,
889,1993,"Sun, May 23, 1993",,Box Score,Chicago Bulls,90,New York Knicks,98,,
890,1993,"Mon, May 24, 1993",,Box Score,Seattle SuperSonics,91,Phoenix Suns,105,,
891,1993,"Tue, May 25, 1993",,Box Score,Chicago Bulls,91,New York Knicks,96,,
892,1993,"Wed, May 26, 1993",,Box Score,Seattle SuperSonics,103,Phoenix Suns,99,,
893,1993,"Fri, May 28, 1993",,Box Score,Phoenix Suns,104,Seattle SuperSonics,97,,
894,1993,"Sat, May 29, 1993",,Box Score,New York Knicks,83,Chicago Bulls,103,,
895,1993,"Sun, May 30, 1993",,Box Score,Phoenix Suns,101,Seattle SuperSonics,120,,
896,1993,"Mon, May 31, 1993",,Box Score,New York Knicks,95,Chicago Bulls,105,,
897,1993,"Tue, Jun 1, 1993",,Box Score,Seattle SuperSonics,114,Phoenix Suns,120,,
898,1993,"Wed, Jun 2, 1993",,Box Score,Chicago Bulls,97,New York Knicks,94,,
899,1993,"Thu, Jun 3, 1993",,Box Score,Phoenix Suns,102,Seattle SuperSonics,118,,
900,1993,"Fri, Jun 4, 1993",,Box Score,New York Knicks,88,Chicago Bulls,96,,
901,1993,"Sat, Jun 5, 1993",,Box Score,Seattle SuperSonics,110,Phoenix Suns,123,,
902,1993,"Wed, Jun 9, 1993",,Box Score,Chicago Bulls,100,Phoenix Suns,92,,
903,1993,"Fri, Jun 11, 1993",,Box Score,Chicago Bulls,111,Phoenix Suns,108,,
904,1993,"Sun, Jun 13, 1993",,Box Score,Phoenix Suns,129,Chicago Bulls,121,3OT,
905,1993,"Wed, Jun 16, 1993",,Box Score,Phoenix Suns,105,Chicago Bulls,111,,
906,1993,"Fri, Jun 18, 1993",,Box Score,Phoenix Suns,108,Chicago Bulls,98,,
907,1993,"Sun, Jun 20, 1993",,Box Score,Chicago Bulls,99,Phoenix Suns,98,,
908,1994,"Thu, Apr 28, 1994",,Box Score,Miami Heat,93,Atlanta Hawks,88,,
909,1994,"Thu, Apr 28, 1994",,Box Score,Indiana Pacers,89,Orlando Magic,88,,
910,1994,"Thu, Apr 28, 1994",,Box Score,Utah Jazz,89,San Antonio Spurs,106,,
911,1994,"Thu, Apr 28, 1994",,Box Score,Denver Nuggets,82,Seattle SuperSonics,106,,
912,1994,"Fri, Apr 29, 1994",,Box Score,Cleveland Cavaliers,96,Chicago Bulls,104,,
913,1994,"Fri, Apr 29, 1994",,Box Score,Portland Trail Blazers,104,Houston Rockets,114,,
914,1994,"Fri, Apr 29, 1994",,Box Score,New Jersey Nets,80,New York Knicks,91,,
915,1994,"Fri, Apr 29, 1994",,Box Score,Golden State Warriors,104,Phoenix Suns,111,,
916,1994,"Sat, Apr 30, 1994",,Box Score,Miami Heat,86,Atlanta Hawks,104,,
917,1994,"Sat, Apr 30, 1994",,Box Score,Indiana Pacers,103,Orlando Magic,101,,
918,1994,"Sat, Apr 30, 1994",,Box Score,Utah Jazz,96,San Antonio Spurs,84,,
919,1994,"Sat, Apr 30, 1994",,Box Score,Denver Nuggets,87,Seattle SuperSonics,97,,
920,1994,"Sun, May 1, 1994",,Box Score,Cleveland Cavaliers,96,Chicago Bulls,105,,
921,1994,"Sun, May 1, 1994",,Box Score,Portland Trail Blazers,104,Houston Rockets,115,,
922,1994,"Sun, May 1, 1994",,Box Score,New Jersey Nets,81,New York Knicks,90,,
923,1994,"Sun, May 1, 1994",,Box Score,Golden State Warriors,111,Phoenix Suns,117,,
924,1994,"Mon, May 2, 1994",,Box Score,Seattle SuperSonics,93,Denver Nuggets,110,,
925,1994,"Mon, May 2, 1994",,Box Score,Orlando Magic,86,Indiana Pacers,99,,
926,1994,"Tue, May 3, 1994",,Box Score,Chicago Bulls,95,Cleveland Cavaliers,92,OT,
927,1994,"Tue, May 3, 1994",,Box Score,Atlanta Hawks,86,Miami Heat,90,,
928,1994,"Tue, May 3, 1994",,Box Score,Houston Rockets,115,Portland Trail Blazers,118,,
929,1994,"Tue, May 3, 1994",,Box Score,San Antonio Spurs,72,Utah Jazz,105,,
930,1994,"Wed, May 4, 1994",,Box Score,Phoenix Suns,140,Golden State Warriors,133,,
931,1994,"Wed, May 4, 1994",,Box Score,New York Knicks,92,New Jersey Nets,93,OT,
932,1994,"Thu, May 5, 1994",,Box Score,Seattle SuperSonics,85,Denver Nuggets,94,OT,
933,1994,"Thu, May 5, 1994",,Box Score,Atlanta Hawks,103,Miami Heat,89,,
934,1994,"Thu, May 5, 1994",,Box Score,San Antonio Spurs,90,Utah Jazz,95,,
935,1994,"Fri, May 6, 1994",,Box Score,New York Knicks,102,New Jersey Nets,92,,
936,1994,"Fri, May 6, 1994",,Box Score,Houston Rockets,92,Portland Trail Blazers,89,,
937,1994,"Sat, May 7, 1994",,Box Score,Denver Nuggets,98,Seattle SuperSonics,94,OT,
938,1994,"Sun, May 8, 1994",,Box Score,Miami Heat,91,Atlanta Hawks,102,,
939,1994,"Sun, May 8, 1994",,Box Score,Phoenix Suns,91,Houston Rockets,87,,
940,1994,"Sun, May 8, 1994",,Box Score,Chicago Bulls,86,New York Knicks,90,,
941,1994,"Tue, May 10, 1994",,Box Score,Indiana Pacers,96,Atlanta Hawks,85,,
942,1994,"Tue, May 10, 1994",,Box Score,Denver Nuggets,91,Utah Jazz,100,,
943,1994,"Wed, May 11, 1994",,Box Score,Phoenix Suns,124,Houston Rockets,117,OT,
944,1994,"Wed, May 11, 1994",,Box Score,Chicago Bulls,91,New York Knicks,96,,
945,1994,"Thu, May 12, 1994",,Box Score,Indiana Pacers,69,Atlanta Hawks,92,,
946,1994,"Thu, May 12, 1994",,Box Score,Denver Nuggets,94,Utah Jazz,104,,
947,1994,"Fri, May 13, 1994",,Box Score,New York Knicks,102,Chicago Bulls,104,,
948,1994,"Fri, May 13, 1994",,Box Score,Houston Rockets,118,Phoenix Suns,102,,
949,1994,"Sat, May 14, 1994",,Box Score,Utah Jazz,111,Denver Nuggets,109,OT,
950,1994,"Sat, May 14, 1994",,Box Score,Atlanta Hawks,81,Indiana Pacers,101,,
951,1994,"Sun, May 15, 1994",,Box Score,New York Knicks,83,Chicago Bulls,95,,
952,1994,"Sun, May 15, 1994",,Box Score,Utah Jazz,82,Denver Nuggets,83,,
953,1994,"Sun, May 15, 1994",,Box Score,Atlanta Hawks,86,Indiana Pacers,102,,
954,1994,"Sun, May 15, 1994",,Box Score,Houston Rockets,107,Phoenix Suns,96,,
955,1994,"Tue, May 17, 1994",,Box Score,Indiana Pacers,76,Atlanta Hawks,88,,
956,1994,"Tue, May 17, 1994",,Box Score,Phoenix Suns,86,Houston Rockets,109,,
957,1994,"Tue, May 17, 1994",,Box Score,Denver Nuggets,109,Utah Jazz,101,2OT,
958,1994,"Wed, May 18, 1994",,Box Score,Chicago Bulls,86,New York Knicks,87,,
959,1994,"Thu, May 19, 1994",,Box Score,Utah Jazz,91,Denver Nuggets,94,,
960,1994,"Thu, May 19, 1994",,Box Score,Atlanta Hawks,79,Indiana Pacers,98,,
961,1994,"Thu, May 19, 1994",,Box Score,Houston Rockets,89,Phoenix Suns,103,,
962,1994,"Fri, May 20, 1994",,Box Score,New York Knicks,79,Chicago Bulls,93,,
963,1994,"Sat, May 21, 1994",,Box Score,Phoenix Suns,94,Houston Rockets,104,,
964,1994,"Sat, May 21, 1994",,Box Score,Denver Nuggets,81,Utah Jazz,91,,
965,1994,"Sun, May 22, 1994",,Box Score,Chicago Bulls,77,New York Knicks,87,,
966,1994,"Mon, May 23, 1994",,Box Score,Utah Jazz,88,Houston Rockets,100,,
967,1994,"Tue, May 24, 1994",,Box Score,Indiana Pacers,89,New York Knicks,100,,
968,1994,"Wed, May 25, 1994",,Box Score,Utah Jazz,99,Houston Rockets,104,,
969,1994,"Thu, May 26, 1994",,Box Score,Indiana Pacers,78,New York Knicks,89,,
970,1994,"Fri, May 27, 1994",,Box Score,Houston Rockets,86,Utah Jazz,95,,
971,1994,"Sat, May 28, 1994",,Box Score,New York Knicks,68,Indiana Pacers,88,,
972,1994,"Sun, May 29, 1994",,Box Score,Houston Rockets,80,Utah Jazz,78,,
973,1994,"Mon, May 30, 1994",,Box Score,New York Knicks,77,Indiana Pacers,83,,
974,1994,"Tue, May 31, 1994",,Box Score,Utah Jazz,83,Houston Rockets,94,,
975,1994,"Wed, Jun 1, 1994",,Box Score,Indiana Pacers,93,New York Knicks,86,,
976,1994,"Fri, Jun 3, 1994",,Box Score,New York Knicks,98,Indiana Pacers,91,,
977,1994,"Sun, Jun 5, 1994",,Box Score,Indiana Pacers,90,New York Knicks,94,,
978,1994,"Wed, Jun 8, 1994",,Box Score,New York Knicks,78,Houston Rockets,85,,
979,1994,"Fri, Jun 10, 1994",,Box Score,New York Knicks,91,Houston Rockets,83,,
980,1994,"Sun, Jun 12, 1994",,Box Score,Houston Rockets,93,New York Knicks,89,,
981,1994,"Wed, Jun 15, 1994",,Box Score,Houston Rockets,82,New York Knicks,91,,
